ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID
g1-f-01_0015,mcpersian,bad kolāhaš rā beheš midahand In ham se tā golābi be ānhā midahad,#	bad	0	kolāh	=aš	=rā	be	=heš	midahand	#	In	ham	se	tā	golābi	be	ānhā	midahad,#	then	0	hat	=POSS.3SG	=ACC	to	=PRO.3SG	give.PRS.IND.3PL	#	PRO.3SG	add	three	piece	pear	to	PRO.3PL	give.PRS.IND.3SG,they give him his hat and he gives them back three pears in return,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,67688,71321,#	other	0.h:a	np:p	=rn_pro.h:poss	=rn_acc	adp	=pro.h:g	v:pred	#	pro.h:a	other	ln_qu	ln_class	np:p	adp	pro.h:g	v:pred,,g1-f-01
g1-f-01_0016,mcpersian,Pesar bačeh miravad bā dočarxeaš va,#	Pesarbačehe	miravad	bā	dočarxe	=aš	va,#	little.boy.DEF	go.PRS.IND.3SG	with	bike	=POSS.3SG	and,the boy went away on his bike,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,71321,74293,#	np.h:s	v:pred	adp	np:obl	=rn_pro.h:poss	other,,g1-f-01
g1-f-01_0017,mcpersian,Dobāre nešān midahad ān āqāyi ke bālāye deraxt bude dāšte golābi mičide miāyd pāyin,#	Dobāre	0	nešān	midahad	#	ān	āqāyi	#	ke	bālāye	deraxt	bude	#	dāšte	golābi	mičide	%	miāyad	pāyin,#	again	0	showing	give.PRS.IND.3SG	#	that	man.INDF	#	that	top.of	tree	be.PST.3SG	#	AUX.PST.3SG	pear	pick.PST.IPFV.3SG	%	come.PRS.IND.3SG	down,again it is shown that the man who is on the tree picking the pears climbs down,en,MORPHEME_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,74293,80026,#	other	0:a	other:lvc	v:pred	#	ln_dem	np.h:s	#rc	ke	adp	np:l	cop	#rc	aux	np:p	v:pred	%	v:pred	rv,,g1-f-01
g1-f-01_0018,mcpersian,mibinad ey vāy yeki az sabadhāye golābiaš nist kame,#	0	mibinad	#	ey	vāy	yeki	az	sabadhāye	golābi	=aš	nist	#	0	kam	=e,#	0	see.PRS.IND.3SG	#	interj	interj	one	of	basket.PL=EZAFE	pear	=POSS.3SG	NEG.be.PRS.3SG	#	0	less	=be.PRS.3SG,"he sees that one of the baskets is not there, it's gone.",en,WORD_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,80026,82713,#	0.h:a	v:pred	#cc.neg:p	other	other	indef_other.h:s	rn_adp	rn_np:poss	rn_lex	=rn_pro.h:poss	cop	#	0:s	other:pred	=cop,,g1-f-01
g1-f-01_0019,mcpersian,Hamān moqe ān se tā pesar bačeyi ke dāštand golābi mixordand az kenāraš rad mišavand ba ta'ajob az kenārešān rad mišavad va fekr mikonad kāre ānhā ast,#	Hamān	moqe	ān	se	tā	pesarbačeyi	#	ke	dāštand	golābi	mixordand	%	az	kenār	=aš	rad	mišavand	#	0	ba	ta'ajob	az	kenār	=ešān	rad	mišavad	#	va	0	fekr	mikonad	#	0	kāre	ānhā	ast,#	same	time	that	three	piece	little.boy.PL.INDF	#	that	AUX.PST.3PL	pear	eat.PST.IPFV.3PL	%	from	side	=POSS.3SG	passing	become.PRS.IND.3SG	#	0	with	surprise	from	side	=POSS.3PL	passing	become.PRS.IND.3SG	#	and	0	thought	do.PRS.IND.3SG	#	0	work=EZAFE	PRO.3PL	be.PRS.3SG,"at the same time those three boys who are eating pears passing him by, he is crossing surprisingly while wondering whether the boys have stolen the pears",en,WORD_ALIGNED,,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,,82716,91935,#	other	other	ln_dem	ln_qu	ln_class	np.h:a	#rc	ke	aux	np:p	v:pred	%	adp	adp	=pro.h:l	other:lvc	v:pred	#	0.h:s	adp	np:obl	adp	adp	=pro.h:l	other:lvc	v:pred	#	other	0.h:s_cp	other:lvc	v:pred	#cc	0:s	np:pred	rn_pro.h:poss	cop,,g1-f-01
g1-f-02_0001,mcpersian,Xob dāstāne film injuri bud ke,#	Xob	dāstāne	film	injuri	bud	ke,#	well	story=EZAFE	film	like.this	be.PST.3SG	that,"Well, the story begins",en,WORD_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,2237,6456,#	other	np:s	rn_np:poss	other:pred	cop	ke,,g1-f-02
g1-f-02_0002,mcpersian,yek bāqbāni dašt mivehā golābi mičid az bālāye deraxt,#	yek	bāqbāni	dāšt	mivehā	golābi	mičid	az	bālāye	deraxt,#	one	gardner.INDF	AUX.PST.3SG	fruits.PL	pear	pick.PST.IPFV.3SG	from	top=EZAFE	tree,a gardner was picking pears on a tree,en,WORD_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,6456,12971,#	ln_deti	np.h:a	aux	np:p	rn_lex	v:pred	adp	adp	np:l,,g1-f-02
g1-f-02_0003,mcpersian,bad miyāmad migozāšt inhā rā tuye sabad,#	0	bad	miyāmad	#	0	migozāšt	inhā	=rā	tuye	sabad,#	0	then	come.PST.IND.3SG	#	0	put.PST.IND.3SG	these	=ACC	in	basket,he climbs down the tree and put them in the basket,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,12971,17295,#	0.h:s	other	v:pred	#	0.h:a	v:pred	pro:p	=rn_acc	adp	np:l,,g1-f-02
g1-f-02_0004,mcpersian,yek bār ke rafte bud balāye deraxt dašt golābiha rā mičid,#	yek	bār	ke	0	rafte	bud	balāye	deraxt	#	0	dašt	golābiha	=rā	mičid,#	one	time	that	0	go.PST.PTCP	AUX.PST.3SG	top.of	tree	#	0	AUX.PST.3SG	pear.PL	=ACC	pick.PST.IPFV.3SG,"once he had gone to the on top of the tree, and was picking pears",en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,17295,21435,#ac	other	other	ke	0.h:s	v:pred	aux	adp	np:l	#	0.h:a	aux	np:p	=rn_acc	v:pred,,g1-f-02
g1-f-02_0005,mcpersian,az dur nešān dād ke yani tuye film didim ke yek pesar bačei savāre dočarxe āmad,#	az	dur	0	nešān	dād	#	ke	yani	0	tuye	film	didim	#	ke	yek	pesarbačei	savāre	dočarxe	āmad,#	from	far	0	showing	give.PST.3SG	#	that	meaning	0	in	film	see.PST.1PL	#	that	one	little.boy.INDF	sitting	bike	come.PST.3SG,"it was shown from far away, we saw in the film that a boy came on a bike",en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,21435,28077,#	other	other	0:a	other:lvc	v:pred	#	ke	other	0.1:a	adp	np:l	v:pred	#cc:p	ke	ln_deti	np.h:s	adp	np:l	v:pred,,g1-f-02
g1-f-02_0006,mcpersian,va nazdike deraxte hamin baqbāne šod,#	va	0	nazdike	deraxte	hamin	baqbāne	šod,#	and	0	near	bike=EZAFE	this	gardner.DEF	become.PST.IND.3SG,and approached the tree which the gardner was on,en,WORD_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,28077,31072,#	other	0.h:s	other:lvc	np:g	rn_dem	rn_np.h:poss	v:pred,,g1-f-02
g1-f-02_0007,mcpersian,ta bāqbān bālāye deraxt bud,#	ta	bāqbān	bālāye	deraxt	bud,#	until	gardner	top.of	tree	be.PST.3SG,while the gardner was on the tree,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,31072,33437,#ac	other	np.h:s	adp	np:l	cop,,g1-f-02
g1-f-02_0008,mcpersian,yek dāne az sabade golābihāyi ke čide bud rā gozāšt ruye dočarxe va šuru kard tuye rāh raftan,#	0	yek	dāne	az	sabade	golābihāyi	#	ke	čide	bud	=rā	%	gozāšt	ruye	dočarxe	#	va	0	šuru	kard	tuye	rāh	raftan,#	0	one	piece	from	basket=EZAFE	pear.PL.INDF	#	that	pick.PST.PTCP	AUX.PST.3SG	=ACC	%	put.PST.3SG	on	bike	#	and	0	start	do.PST.3SG	in	way	going,"he took one of the baskets which had been picked, put it on his bike and set off the road",en,WORD_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,33437,40378,#	0.h:a	ln_qu	class_np:p	rn_adp	rn_np:poss	rn_lex	#rc	ke	v:pred	aux	=rn_acc	%	v:pred	adp	np:l	#	other	0.h:a	other:lvc	v:pred	adp	np:l	vother,,g1-f-02
g1-f-02_0009,mcpersian,bāqbān ham hiči az in sahne čizi nadid,#	bāqbān	ham	hiči	az	in	sahne	čizi	nadid,#	gardner	add	nothing	from	this	scene	something	NEG.see.PST.3SG,the gardner didn't notice anything of this scene,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,40378,42948,#neg	np.h:a	other	other	adp	ln_dem	np:obl	indef_other:p	v:pred,,g1-f-02
g1-f-02_0010,mcpersian,bad pesarbače raft az kenāre yek dočarxeye digari az kenāre yek doxtare dočarxe savāri ke rad šod,#	bad	pesarbače	raft	az	kenāre	yek	dočarxeye	digari	#	0	az	kenāre	yek	doxtare	dočarxesavāri	ke	rad	šod,#	then	little.boy	go.PST.3SG	from	side	one	bike	another	#	0	from	side.of	one	girl	rider	that	passing	become.PST.3SG,then the boy passed another bike on his way,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,42948,52298,#	other	np.h:s	v:pred	adp	adp	ln_deti	np:l	rn_lex	#	0.h:s	adp	adp	ln_deti	np:l	rn_lex	ke	other:lvc	v:pred,,g1-f-02
g1-f-02_0011,mcpersian,dočarxeaš oftād tuye yek dastandāzi,#	dočarxe	=aš	oftād	tuye	yek	dastandāzi,#	bike	=POSS.3SG	fall.PST.3SG	inside	one	hole,his bike fell into a pothole,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,52298,55576,#	np:s	=rn_pro.h:poss	v:pred	adp	ln_deti	np:g,,g1-f-02
g1-f-02_0012,mcpersian,va zamin xord,#	va	0	zamin	xord,#	and	0	ground	eat.PST.3SG,he fell down,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,55576,57424,#	other	0.h:s_cp	other:lvc	v:pred,,g1-f-02
g1-f-02_0013,mcpersian,tamāme golābihāyaš ham paxše zamin šodand,#	tamāme	golābihā	=yaš	ham	paxše	zamin	šodand,#	whole	pear.PL	=POSS.3SG	add	scattered=EZAFE	ground	become.PST.3PL,all his pears spilled out,en,WORD_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,57424,59941,#	ln_qu	np:s	=rn_pro.h:poss	other	other:lvc	other	v:pred,,g1-f-02
g1-f-02_0014,mcpersian,pā šod xodaš rā tekānd pāyaš rā negāh kard bebinad zaxm šode ya na,#	0	pā	šod	#	0	xod	=aš	=rā	tekānd	#	0	pā	=yaš	=rā	negāh	kard	#	0	bebinad	#	0	zaxm	šode	ya	na,#	0	foot	become.PST.3SG	#	0	self	=POSS.3SG	=ACC	dust.PST.3SG	#	0	foot	=POSS.3SG	=ACC	look	do.PST.3SG	#	0	see.PRS.SBJV.3SG	#	0	wound	become.PST.PTCP	or	no,"he got up, dusted himself, looked at his foot to see whether it was injured or not",en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,59941,65284,#	0.h:s	other:lvc	v:pred	#	0.h:a	refl.h:p	=rn_pro.h:poss	=rn_acc	v:pred	#	0.h:a	np:p	=rn_pro.h:poss	=rn_acc	other:lvc	v:pred	#cc	0.h:a	v:pred	#cc:p	0:s	np:pred	v:pred	other	other,,g1-f-02
g1-f-02_0015,mcpersian,se tā pesarbačeye digar ān nazdiktar istāde budand beheš āmadand komakaš,#	se	tā	pesarbačeye	digar	ān	nazdiktar	 istāde	budand	#	be	=heš	0	āmadand	komak	=aš,#	three	piece	little.boy	another	that	closer	stand.PST.PTCP	AUX.PST.3PL	#	to	=PRO.3SG	0	come.PST.3PL	help	=POSS.3SG,three boys who  standing there came to help him,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,65284,70585,#	ln_qu	ln_class	np.h:s	rn_lex	other	other	v:pred	aux	#	adp	=pro.h:g	0.h:s	v:pred	np:obl	=rn_pro.h:poss,,g1-f-02
g1-f-02_0016,mcpersian,yek nafar golābihāyaš rā jam kard yeki tekānd lebāsaš rā,#	yek	nafar	golābihā	=yaš	=rā	jam	kard	#	yeki	tekānd	lebās	=aš	=rā,#	one	person	pear.PL	=POSS.3SG	=ACC	collected	do.PST.3SG	#	one	dust.PST.3SG	clothes	=POSS.3SG	=ACC,"one of them gathered up the pears, the other one cleaned his clothes",en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,70585,75409,#	ln_deti	np.h:a	np:p	=rn_pro.h:poss	=rn_acc	other:lvc	v:pred	#	indef_other.h:a	v:pred	np:p	=rn_pro.h:poss	=rn_acc,,g1-f-02
g1-f-02_0017,mcpersian,pesarbače savāre dočarxe šod āmad beravad,#	pesarbače	savāre	dočarxe	šod	#	0	āmad	beravad,#	little.boy	sitting.on	bike	become.PST.3SG	#	0	AUX.PST.PROSP.3SG	go.PRS.SBJV.3SG,the little boy got on his bike again and he was about to go,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,75409,79010,#	np.h:s	other:lvc	np:l	v:pred	#	0.h:s	aux	v:pred,,g1-f-02
g1-f-02_0018,mcpersian,ān se nafare digar didand ke kolāhaš rā jā gozāšte,#	ān	se	nafare	digar	didand	#	ke	0	kolāh	=aš	=rā	jā	gozāšte,#	that	three	person	another	see.PST.3PL	#	that	0	hat	=POSS.3SG	=ACC	PLace	put.PST.PTCP,the other three guys saw the little boy's hat left on the ground,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,79010,82481,#	ln_dem	ln_qu	np.h:a	rn_lex	v:pred	#cc:p	ke	0.h:a	np:p	=rn_pro.h:poss	=rn_acc	other:lvc	v:pred,,g1-f-02
g1-f-02_0019,mcpersian,yekišān āmad kolāhaš rā be pesarbače bedahad,#	yeki	=šān	āmad	kolāh	=aš	=rā	be	pesarbače	bedahad,#	one	=POSS.3PL	AUX.PST.PROSP.3SG	hat	=POSS.3SG	=ACC	to	little.boy	give.PRS.SBJV.3SG,one of them came to give back the boy's hat,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,82481,85892,#	indef_other.h:a	=rn_pro.h:poss	v:pred	np:p	=rn_pro.h:poss	=rn_acc	adp	np.h:g	v:pred,,g1-f-02
g1-f-02_0020,mcpersian,dar ezāye kolāhi ke beheš dād,#	dar	ezāye	kolāhi	#	ke	0	be	=heš	dād,#	in	ezāye	hat.INDF	#	that	0	to	=PRO.3SG	give.PST.3SG,and instead of the hat they gave him,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,85892,88759,#	other	other	np:p	#rc	ke	0.h:a	adp	=pro.h:g	v:pred,,g1-f-02
g1-f-02_0021,mcpersian,pesarbače ham se ta golābi beheš bargardānd,#	pesarbače	ham	se	tā	golābi	be	=heš	bargardānd,#	little.boy	add	three	piece	pear	to	=PRO.3SG	return.PST.3PL,the little boy gave them three pears,en,MORPHEME_ALIGNED,,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,,88759,91800,#	np.h:a	other	ln_qu	ln_class	np:p	adp	=pro.h:g	v:pred,,g1-f-02
